,INH01,INH02,INH03,INV01,INV02,INV03,INV04,INV05,RPA01,RPA02,RPA03,RPA04,RPA05,RPA06,RPA07,RPA08,RPA09,RPA10,RPA11,RPA12,RPA13,RPA14,RPB01,RPB02,RPB03,RPB04,RPB05,RPB06,RPB07,RPB08,RPC01,RPC02,RPC03,RPC04,RPC05,RPC06,RPC07,RPC08,RPC09,RPC10,RPC11,RPD01,EXT01,EXT02,EXT03,EXT04,EXT05,EXT06,EXT07,EXT08,EXT09,EXT10,INH04,RPA15,ALI01,ALI02,ALI03,ALI04,ALI05,ALI07,ALI06,ALI08,ALI09,ALI10,ALI11,ALI12,ALI13,ALI14,ALI15,ALI16,ALI17,ALI18,ALI19,ALI20,ALI21,ALI23,ALI22,ALI24,ALI25,ALI26
INH01,1.0,0.2028985507246377,0.2077922077922078,0.1652892561983471,0.2047244094488189,0.1643835616438356,0.22727272727272727,0.0,0.22,0.25925925925925924,0.21568627450980393,0.20408163265306123,0.09230769230769231,0.2857142857142857,0.2916666666666667,0.1782178217821782,0.21052631578947367,0.12698412698412698,0.1388888888888889,0.17699115044247787,0.1348314606741573,0.16666666666666666,0.2631578947368421,0.3089430894308943,0.24347826086956523,0.32558139534883723,0.2247191011235955,0.23622047244094488,0.3225806451612903,0.31007751937984496,0.23809523809523808,0.20869565217391303,0.2765957446808511,0.23931623931623933,0.24,0.21666666666666667,0.2641509433962264,0.16,0.1793103448275862,0.2,0.09259259259259259,0.2692307692307692,0.1388888888888889,0.1414141414141414,0.14,0.1232876712328767,0.11023622047244094,0.1391304347826087,0.14,0.20588235294117646,0.14285714285714285,0.14583333333333334,0.27522935779816515,0.19230769230769232,0.1935483870967742,0.034482758620689655,0.06451612903225806,0.03333333333333333,0.034482758620689655,0.06060606060606061,0.06060606060606061,0.0625,0.029411764705882353,0.029411764705882353,0.136986301369863,0.03333333333333333,0.05970149253731343,0.05970149253731343,0.05970149253731343,0.03333333333333333,0.03333333333333333,0.19444444444444445,0.06060606060606061,0.05555555555555555,0.05555555555555555,0.2222222222222222,0.23880597014925373,0.14084507042253522,0.26506024096385544,0.2926829268292683
INH02,0.2028985507246377,1.0,0.19230769230769232,0.0625,0.17647058823529413,0.2916666666666667,0.25396825396825395,0.05714285714285714,0.13333333333333333,0.1927710843373494,0.2077922077922078,0.4931506849315068,0.05,0.09090909090909091,0.11267605633802817,0.13157894736842105,0.17142857142857143,0.05263157894736842,0.2127659574468085,0.11363636363636363,0.15625,0.6101694915254238,0.15730337078651685,0.14285714285714285,0.17777777777777778,0.1346153846153846,0.3125,0.11764705882352941,0.23529411764705882,0.1346153846153846,0.23728813559322035,0.17777777777777778,0.17391304347826086,0.17391304347826086,0.18,0.12631578947368421,0.1728395061728395,0.10666666666666667,0.1,0.09411764705882353,0.0963855421686747,0.17721518987341772,0.1276595744680851,0.05405405405405406,0.05333333333333334,0.06611570247933884,0.0784313725490196,0.08888888888888889,0.13333333333333333,0.18604651162790697,0.1643835616438356,0.16901408450704225,0.2619047619047619,0.25316455696202533,0.16216216216216217,0.0,0.0,0.05714285714285714,0.0,0.0,0.0,0.0,0.046511627906976744,0.09302325581395349,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.2127659574468085,0.04878048780487805,0.0425531914893617,0.0425531914893617,0.2127659574468085,0.23809523809523808,0.17391304347826086,0.1724137931034483,0.17543859649122806
INH03,0.2077922077922078,0.19230769230769232,1.0,0.057692307692307696,0.18181818181818182,0.21428571428571427,0.2535211267605634,0.0,0.1686746987951807,0.1978021978021978,0.18823529411764706,0.12345679012345678,0.041666666666666664,0.21621621621621623,0.22784810126582278,0.19047619047619047,0.15384615384615385,0.043478260869565216,0.2909090909090909,0.14583333333333334,0.25,0.14925373134328357,0.20618556701030927,0.1509433962264151,0.16326530612244897,0.16071428571428573,0.19444444444444445,0.14545454545454545,0.07894736842105263,0.16071428571428573,0.208955223880597,0.16326530612244897,0.2077922077922078,0.22,0.16666666666666666,0.17475728155339806,0.15730337078651685,0.14457831325301204,0.15625,0.1935483870967742,0.10989010989010989,0.2988505747126437,0.18181818181818182,0.0975609756097561,0.0963855421686747,0.07751937984496124,0.07272727272727272,0.061224489795918366,0.0963855421686747,0.27450980392156865,0.12345679012345678,0.12658227848101267,0.13043478260869565,0.1839080459770115,0.08888888888888889,0.0,0.0,0.046511627906976744,0.0,0.0,0.0,0.0,0.0392156862745098,0.0392156862745098,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.07272727272727272,0.04081632653061224,0.03636363636363636,0.03636363636363636,0.07272727272727272,0.08,0.07407407407407407,0.06060606060606061,0.06153846153846154
INV01,0.1652892561983471,0.0625,0.057692307692307696,1.0,0.14285714285714285,0.06,0.1391304347826087,0.06896551724137931,0.14173228346456693,0.11851851851851852,0.12403100775193798,0.16,0.10869565217391304,0.15254237288135594,0.16260162601626016,0.15625,0.14754098360655737,0.1111111111111111,0.04040404040404041,0.1,0.08620689655172414,0.07207207207207207,0.2127659574468085,0.16,0.23943661971830985,0.16666666666666666,0.1206896551724138,0.16883116883116883,0.21666666666666667,0.16666666666666666,0.16216216216216217,0.15492957746478872,0.1487603305785124,0.125,0.27631578947368424,0.20408163265306123,0.18045112781954886,0.06299212598425197,0.1744186046511628,0.17518248175182483,0.05925925925925926,0.183206106870229,0.12121212121212122,0.19047619047619047,0.2204724409448819,0.16184971098265896,0.14285714285714285,0.15492957746478872,0.2047244094488189,0.06315789473684211,0.192,0.1951219512195122,0.19117647058823528,0.0916030534351145,0.15730337078651685,0.023529411764705882,0.0449438202247191,0.022988505747126436,0.023529411764705882,0.043010752688172046,0.043010752688172046,0.04395604395604396,0.06315789473684211,0.06315789473684211,0.1,0.022988505747126436,0.0851063829787234,0.0851063829787234,0.0851063829787234,0.022988505747126436,0.022988505747126436,0.10101010101010101,0.043010752688172046,0.04040404040404041,0.04040404040404041,0.16161616161616163,0.1276595744680851,0.14285714285714285,0.16363636363636364,0.1834862385321101
INV02,0.2047244094488189,0.17647058823529413,0.18181818181818182,0.14285714285714285,1.0,0.1320754716981132,0.24793388429752067,0.06451612903225806,0.16541353383458646,0.2127659574468085,0.2518518518518518,0.21374045801526717,0.12244897959183673,0.1774193548387097,0.18604651162790697,0.26865671641791045,0.15625,0.10416666666666667,0.1523809523809524,0.2328767123287671,0.19672131147540983,0.15384615384615385,0.272108843537415,0.24358974358974358,0.25675675675675674,0.2345679012345679,0.19672131147540983,0.2375,0.19047619047619047,0.25925925925925924,0.2564102564102564,0.527027027027027,0.33070866141732286,0.17333333333333334,0.25316455696202533,0.23529411764705882,0.17266187050359713,0.12030075187969924,0.1797752808988764,0.2097902097902098,0.1276595744680851,0.2773722627737226,0.17142857142857143,0.16666666666666666,0.15037593984962405,0.2122905027932961,0.2,0.1891891891891892,0.18045112781954886,0.13861386138613863,0.16793893129770993,0.18604651162790697,0.2112676056338028,0.23357664233576642,0.10526315789473684,0.02197802197802198,0.042105263157894736,0.043010752688172046,0.02197802197802198,0.04040404040404041,0.04040404040404041,0.041237113402061855,0.039603960396039604,0.0594059405940594,0.1320754716981132,0.021505376344086023,0.06,0.06,0.06,0.021505376344086023,0.021505376344086023,0.1523809523809524,0.04040404040404041,0.05714285714285714,0.05714285714285714,0.1523809523809524,0.16,0.11538461538461539,0.13793103448275862,0.1565217391304348
INV03,0.1643835616438356,0.2916666666666667,0.21428571428571427,0.06,0.1320754716981132,1.0,0.208955223880597,0.05128205128205128,0.17721518987341772,0.1839080459770115,0.12345679012345678,0.18181818181818182,0.045454545454545456,0.08571428571428572,0.10666666666666667,0.175,0.16216216216216217,0.047619047619047616,0.19607843137254902,0.13043478260869565,0.20588235294117646,0.25396825396825395,0.15053763440860216,0.13725490196078433,0.1276595744680851,0.12962962962962962,0.29411764705882354,0.22641509433962265,0.1388888888888889,0.16666666666666666,0.2857142857142857,0.1702127659574468,0.2191780821917808,0.20833333333333334,0.17307692307692307,0.16161616161616163,0.18823529411764706,0.17721518987341772,0.14516129032258066,0.1797752808988764,0.04597701149425287,0.1686746987951807,0.19607843137254902,0.05128205128205128,0.05063291139240506,0.096,0.11320754716981132,0.06382978723404255,0.1518987341772152,0.1276595744680851,0.12987012987012986,0.13333333333333333,0.1590909090909091,0.1686746987951807,0.14634146341463414,0.0,0.0,0.05128205128205128,0.0,0.0,0.0,0.0,0.0425531914893617,0.0425531914893617,0.19230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.1568627450980392,0.044444444444444446,0.0392156862745098,0.0392156862745098,0.1568627450980392,0.17391304347826086,0.2,0.12903225806451613,0.13114754098360656
INV04,0.22727272727272727,0.25396825396825395,0.2535211267605634,0.1391304347826087,0.24793388429752067,0.208955223880597,1.0,0.037037037037037035,0.19148936170212766,0.27450980392156865,0.22916666666666666,0.21739130434782608,0.13559322033898305,0.21176470588235294,0.2222222222222222,0.16842105263157894,0.20224719101123595,0.10526315789473684,0.2727272727272727,0.14953271028037382,0.21686746987951808,0.28205128205128205,0.3148148148148148,0.2564102564102564,0.3119266055045872,0.22764227642276422,0.3373493975903614,0.24793388429752067,0.20689655172413793,0.2601626016260163,0.15384615384615385,0.23853211009174313,0.25,0.2882882882882883,0.2857142857142857,0.21052631578947367,0.16,0.1702127659574468,0.2014388489208633,0.17307692307692307,0.13725490196078433,0.46938775510204084,0.18181818181818182,0.12903225806451613,0.10638297872340426,0.12857142857142856,0.09917355371900827,0.09174311926605505,0.1276595744680851,0.3548387096774194,0.13043478260869565,0.13333333333333333,0.27184466019417475,0.2857142857142857,0.14285714285714285,0.0,0.03571428571428571,0.037037037037037035,0.0,0.03333333333333333,0.03333333333333333,0.034482758620689655,0.03225806451612903,0.06451612903225806,0.1791044776119403,0.0,0.03278688524590164,0.03278688524590164,0.03278688524590164,0.037037037037037035,0.0,0.15151515151515152,0.03333333333333333,0.030303030303030304,0.030303030303030304,0.21212121212121213,0.19672131147540983,0.12307692307692308,0.2077922077922078,0.23684210526315788
INV05,0.0,0.05714285714285714,0.0,0.06896551724137931,0.06451612903225806,0.05128205128205128,0.037037037037037035,1.0,0.0,0.0,0.0,0.0625,0.5806451612903226,0.0,0.0,0.08955223880597014,0.09836065573770492,0.0,0.0,0.05063291139240506,0.03636363636363636,0.04,0.05,0.0,0.07407407407407407,0.021052631578947368,0.03636363636363636,0.06451612903225806,0.06779661016949153,0.06315789473684211,0.08,0.04938271604938271,0.03333333333333333,0.0,0.08791208791208792,0.046511627906976744,0.08333333333333333,0.0,0.09009009009009009,0.07894736842105263,0.05405405405405406,0.05714285714285714,0.10526315789473684,0.09230769230769231,0.09090909090909091,0.08928571428571429,0.10752688172043011,0.024691358024691357,0.15151515151515152,0.0,0.09375,0.16129032258064516,0.02666666666666667,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.11764705882352941,0.11764705882352941,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842,0.06060606060606061,0.10810810810810811,0.04081632653061224,0.041666666666666664
RPA01,0.22,0.13333333333333333,0.1686746987951807,0.14173228346456693,0.16541353383458646,0.17721518987341772,0.19148936170212766,0.0,1.0,0.47368421052631576,0.2037037037037037,0.19230769230769232,0.028169014084507043,0.2268041237113402,0.2549019607843137,0.205607476635514,0.13861386138613863,0.11594202898550725,0.1794871794871795,0.10084033613445378,0.23157894736842105,0.15555555555555556,0.21666666666666667,0.20155038759689922,0.21487603305785125,0.1925925925925926,0.29473684210526313,0.19548872180451127,0.12121212121212122,0.17777777777777778,0.15555555555555556,0.1652892561983471,0.2,0.21138211382113822,0.1984732824427481,0.20634920634920634,0.14285714285714285,0.2641509433962264,0.13245033112582782,0.20689655172413793,0.08771929824561403,0.23636363636363636,0.15384615384615385,0.0761904761904762,0.09433962264150944,0.09210526315789473,0.10526315789473684,0.06611570247933884,0.11320754716981132,0.13513513513513514,0.07692307692307693,0.0784313725490196,0.2608695652173913,0.16363636363636364,0.08823529411764706,0.03125,0.058823529411764705,0.06060606060606061,0.03125,0.05555555555555555,0.05555555555555555,0.05714285714285714,0.05405405405405406,0.05405405405405406,0.10126582278481013,0.030303030303030304,0.1095890410958904,0.1095890410958904,0.1095890410958904,0.030303030303030304,0.030303030303030304,0.05128205128205128,0.027777777777777776,0.02564102564102564,0.02564102564102564,0.10256410256410256,0.0821917808219178,0.07792207792207792,0.0449438202247191,0.06818181818181818
RPA02,0.25925925925925924,0.1927710843373494,0.1978021978021978,0.11851851851851852,0.2127659574468085,0.1839080459770115,0.27450980392156865,0.0,0.47368421052631576,1.0,0.3103448275862069,0.17857142857142858,0.02531645569620253,0.19047619047619047,0.21818181818181817,0.17391304347826086,0.1651376146788991,0.1038961038961039,0.20930232558139536,0.14173228346456693,0.3106796116504854,0.16326530612244897,0.234375,0.21897810218978103,0.21705426356589147,0.23776223776223776,0.34951456310679613,0.2127659574468085,0.11214953271028037,0.2097902097902098,0.1836734693877551,0.20155038759689922,0.2037037037037037,0.24427480916030533,0.2446043165467626,0.23880597014925373,0.16666666666666666,0.2631578947368421,0.22641509433962265,0.24193548387096775,0.11475409836065574,0.2542372881355932,0.16279069767441862,0.07079646017699115,0.07017543859649122,0.1375,0.14184397163120568,0.13953488372093023,0.14035087719298245,0.1951219512195122,0.125,0.12727272727272726,0.2926829268292683,0.22033898305084745,0.13157894736842105,0.027777777777777776,0.05263157894736842,0.02702702702702703,0.027777777777777776,0.05,0.05,0.05128205128205128,0.024390243902439025,0.04878048780487805,0.13793103448275862,0.02702702702702703,0.09876543209876543,0.09876543209876543,0.09876543209876543,0.02702702702702703,0.02702702702702703,0.11627906976744186,0.05,0.046511627906976744,0.046511627906976744,0.13953488372093023,0.14814814814814814,0.11764705882352941,0.12371134020618557,0.14583333333333334
